,stimulation,population,feature,time,p.value,FDR
Unstim_Th2_STAT5_V5,Unstim,Th2,STAT5,V5,0.56277743,0.923554663
PI_Eosino_ERK_V4a,PI,Eosino,ERK,V4a,0.562891774,0.947344098
PI_Baso +++_pSTAT6_V4a,PI,Baso +++,pSTAT6,V4a,0.564871849,0.948575365
IL1B_Th2_STAT3_V4a,IL1B,Th2,STAT3,V4a,0.567579395,0.948575365
IFNa_Tregnaive_CREB_V4a,IFNa,Tregnaive,CREB,V4a,0.568092817,0.948575365
IFNa_Tregnaive_p38_V4a,IFNa,Tregnaive,p38,V4a,0.568092817,0.948575365
IL1B_CD8Tem_IkB_V4a,IL1B,CD8Tem,IkB,V4a,0.568092817,0.948575365
IL1B_CD8Trm_IkB_V4a,IL1B,CD8Trm,IkB,V4a,0.568092817,0.948575365
IL1B_NK-Tcells_MAPKAPK2_V4a,IL1B,NK-Tcells,MAPKAPK2,V4a,0.568092817,0.948575365
IL1B_Th1_MAPKAPK2_V4a,IL1B,Th1,MAPKAPK2,V4a,0.568092817,0.948575365
LPS_CD4Trm_STAT3_V4a,LPS,CD4Trm,STAT3,V4a,0.574847639,0.948575365
LPS_cMC_STAT1_V4a,LPS,cMC,STAT1,V4a,0.574847639,0.948575365
TNFa_CD4Trm_STAT3_V4a,TNFa,CD4Trm,STAT3,V4a,0.574847639,0.948575365
Unstim_CD4Trm_STAT3_V4a,Unstim,CD4Trm,STAT3,V4a,0.574847639,0.948575365
Unstim_CD8Tnaive_STAT3_V4a,Unstim,CD8Tnaive,STAT3,V4a,0.574847639,0.948575365
Unstim_Baso +++_pSTAT6_V4b,Unstim,Baso +++,pSTAT6,V4b,0.574847639,0.863041991
IL1B_Baso_STAT3_V4a,IL1B,Baso,STAT3,V4a,0.574924014,0.948575365
PI_Th1mem_p38_V4a,PI,Th1mem,p38,V4a,0.576536933,0.948575365
Unstim_Tregnaive_CREB_V5,Unstim,Tregnaive,CREB,V5,0.576843597,0.923554663
Unstim_Baso +++_MAPKAPK2_V5,Unstim,Baso +++,MAPKAPK2,V5,0.57931234,0.923554663
Unstim_cMC_p38_V5,Unstim,cMC,p38,V5,0.57931234,0.923554663
Unstim_Th1_STAT5_V4b,Unstim,Th1,STAT5,V4b,0.579556855,0.863041991
PI_Th1_p38_V4a,PI,Th1,p38,V4a,0.579938019,0.948575365
TNFa_Th1mem_CREB_V4a,TNFa,Th1mem,CREB,V4a,0.580016405,0.948575365
Unstim_pDC_STAT3_V4a,Unstim,pDC,STAT3,V4a,0.580665414,0.948575365
TNFa_Th1naive_MAPKAPK2_V4a,TNFa,Th1naive,MAPKAPK2,V4a,0.582643694,0.948575365
Unstim_CD4Tcm_STAT3_V4a,Unstim,CD4Tcm,STAT3,V4a,0.583921556,0.948575365
IFNa_CD4Tem_NFkB_V4a,IFNa,CD4Tem,NFkB,V4a,0.584133104,0.948575365
IFNa_CD56brightCD16neg-NK_STAT3_V4a,IFNa,CD56brightCD16neg-NK,STAT3,V4a,0.584133104,0.948575365
IFNa_CD8Tem_NFkB_V4a,IFNa,CD8Tem,NFkB,V4a,0.584133104,0.948575365
IFNa_gdT_STAT5_V4a,IFNa,gdT,STAT5,V4a,0.584133104,0.948575365
IL246_Baso_IkB_V4a,IL246,Baso,IkB,V4a,0.584133104,0.948575365
IL246_CD4Tnaive_ERK_V4a,IL246,CD4Tnaive,ERK,V4a,0.584133104,0.948575365
IL246_CD4Trm_STAT5_V4a,IL246,CD4Trm,STAT5,V4a,0.584133104,0.948575365
IL246_intMC_STAT1_V4a,IL246,intMC,STAT1,V4a,0.584133104,0.948575365
LPS_Bcells_CREB_V4a,LPS,Bcells,CREB,V4a,0.584133104,0.948575365
LPS_CD56brightCD16neg-NK_IkB_V4a,LPS,CD56brightCD16neg-NK,IkB,V4a,0.584133104,0.948575365
LPS_CD8Trm_pSTAT6_V4a,LPS,CD8Trm,pSTAT6,V4a,0.584133104,0.948575365
LPS_Eosino_ERK_V4a,LPS,Eosino,ERK,V4a,0.584133104,0.948575365
LPS_Eosino_STAT5_V4a,LPS,Eosino,STAT5,V4a,0.584133104,0.948575365
LPS_mDC_Frequency_V4a,LPS,mDC,Frequency,V4a,0.584133104,0.948575365
LPS_pDC_Frequency_V4a,LPS,pDC,Frequency,V4a,0.584133104,0.948575365
LPS_Tregmem_ERK_V4a,LPS,Tregmem,ERK,V4a,0.584133104,0.948575365
TNFa_Baso_Frequency_V4a,TNFa,Baso,Frequency,V4a,0.584133104,0.948575365
TNFa_Baso +++_NFkB_V4a,TNFa,Baso +++,NFkB,V4a,0.584133104,0.948575365
TNFa_Bcells_NFkB_V4a,TNFa,Bcells,NFkB,V4a,0.584133104,0.948575365
TNFa_CD56dimCD16pos-NK_Frequency_V4a,TNFa,CD56dimCD16pos-NK,Frequency,V4a,0.584133104,0.948575365
TNFa_CD56dimCD16pos-NK_S6_V4a,TNFa,CD56dimCD16pos-NK,S6,V4a,0.584133104,0.948575365
TNFa_CD8Tem_NFkB_V4a,TNFa,CD8Tem,NFkB,V4a,0.584133104,0.948575365
TNFa_cMC_STAT5_V4a,TNFa,cMC,STAT5,V4a,0.584133104,0.948575365
TNFa_Eosino_STAT5_V4a,TNFa,Eosino,STAT5,V4a,0.584133104,0.948575365
TNFa_MDSC_ERK_V4a,TNFa,MDSC,ERK,V4a,0.584133104,0.948575365
TNFa_pDC_IkB_V4a,TNFa,pDC,IkB,V4a,0.584133104,0.948575365
Unstim_CD56dimCD16pos-NK_CREB_V4a,Unstim,CD56dimCD16pos-NK,CREB,V4a,0.584133104,0.948575365
Unstim_intMC_MAPKAPK2_V4a,Unstim,intMC,MAPKAPK2,V4a,0.584133104,0.948575365
Unstim_Th1mem_NFkB_V4a,Unstim,Th1mem,NFkB,V4a,0.584133104,0.948575365
Unstim_Th1naive_CREB_V4a,Unstim,Th1naive,CREB,V4a,0.584133104,0.948575365
Unstim_Treg_MAPKAPK2_V4a,Unstim,Treg,MAPKAPK2,V4a,0.584133104,0.948575365
Unstim_Tregmem_MAPKAPK2_V4a,Unstim,Tregmem,MAPKAPK2,V4a,0.584133104,0.948575365
Unstim_intMC_MAPKAPK2_V4b,Unstim,intMC,MAPKAPK2,V4b,0.584133104,0.863041991
Unstim_Th1_MAPKAPK2_V4b,Unstim,Th1,MAPKAPK2,V4b,0.584133104,0.863041991
Unstim_Bcells_Frequency_V5,Unstim,Bcells,Frequency,V5,0.584133104,0.923554663
PI_CD4Tcm_Frequency_V4a,PI,CD4Tcm,Frequency,V4a,0.586148077,0.948644768
PI_CD4Tem_Frequency_V4a,PI,CD4Tem,Frequency,V4a,0.586148077,0.948644768
PI_CD8Tnaive_NFkB_V4a,PI,CD8Tnaive,NFkB,V4a,0.586148077,0.948644768
PI_Th2_NFkB_V4a,PI,Th2,NFkB,V4a,0.586148077,0.948644768
PI_Tregmem_STAT5_V4a,PI,Tregmem,STAT5,V4a,0.586148077,0.948644768
Unstim_Tregmem_CREB_V4a,Unstim,Tregmem,CREB,V4a,0.587865969,0.949249006
IL1B_Baso_IkB_V4a,IL1B,Baso,IkB,V4a,0.590468404,0.949249006
IL1B_CD4Tnaive_S6_V4a,IL1B,CD4Tnaive,S6,V4a,0.590468404,0.949249006
IL1B_CD8Tcm_ERK_V4a,IL1B,CD8Tcm,ERK,V4a,0.590468404,0.949249006
IL1B_CD8Tcm_NFkB_V4a,IL1B,CD8Tcm,NFkB,V4a,0.590468404,0.949249006
IL1B_CD8Tnaive_NFkB_V4a,IL1B,CD8Tnaive,NFkB,V4a,0.590468404,0.949249006
IL1B_Granulocytes_MAPKAPK2_V4a,IL1B,Granulocytes,MAPKAPK2,V4a,0.590468404,0.949249006
IL1B_ncMC_CREB_V4a,IL1B,ncMC,CREB,V4a,0.590468404,0.949249006
TNFa_Th1_CREB_V4a,TNFa,Th1,CREB,V4a,0.590468404,0.949249006
TNFa_Th1_p38_V4a,TNFa,Th1,p38,V4a,0.590468404,0.949249006
Unstim_Tregmem_STAT5_V4b,Unstim,Tregmem,STAT5,V4b,0.590652432,0.863041991
Unstim_Eosino_p38_V4a,Unstim,Eosino,p38,V4a,0.593705761,0.950467371
Unstim_Eosino_p38_V4b,Unstim,Eosino,p38,V4b,0.593705761,0.863041991
Unstim_Eosino_p38_V5,Unstim,Eosino,p38,V5,0.593705761,0.923554663
Unstim_pDC_STAT3_V4b,Unstim,pDC,STAT3,V4b,0.596397533,0.863041991
IL1B_Th1naive_ERK_V4a,IL1B,Th1naive,ERK,V4a,0.597321011,0.950467371
Unstim_Th1naive_CREB_V4b,Unstim,Th1naive,CREB,V4b,0.597321011,0.863041991
Unstim_mDC_STAT5_V4b,Unstim,mDC,STAT5,V4b,0.597728655,0.863041991
IL1B_pDC_STAT3_V4a,IL1B,pDC,STAT3,V4a,0.598626831,0.950467371
LPS_Treg_STAT3_V4a,LPS,Treg,STAT3,V4a,0.600542838,0.950467371
IFNa_ncMC_ERK_V4a,IFNa,ncMC,ERK,V4a,0.601410544,0.950467371
LPS_CD4Trm_p38_V4a,LPS,CD4Trm,p38,V4a,0.601551051,0.950467371
IL246_CD8Trm_STAT3_V4a,IL246,CD8Trm,STAT3,V4a,0.601920638,0.950467371
TNFa_Baso_pSTAT6_V4a,TNFa,Baso,pSTAT6,V4a,0.604198259,0.950467371
PI_Th1naive_pSTAT6_V4a,PI,Th1naive,pSTAT6,V4a,0.605841218,0.950467371
PI_Th1naive_S6_V4a,PI,Th1naive,S6,V4a,0.605841218,0.950467371
IFNa_Baso +++_pSTAT6_V4a,IFNa,Baso +++,pSTAT6,V4a,0.605848848,0.950467371
IFNa_CD4Tcm_CREB_V4a,IFNa,CD4Tcm,CREB,V4a,0.605848848,0.950467371
IFNa_cMC_IkB_V4a,IFNa,cMC,IkB,V4a,0.605848848,0.950467371
IFNa_cMC_STAT1_V4a,IFNa,cMC,STAT1,V4a,0.605848848,0.950467371
IFNa_intMC_STAT5_V4a,IFNa,intMC,STAT5,V4a,0.605848848,0.950467371
IFNa_Treg_NFkB_V4a,IFNa,Treg,NFkB,V4a,0.605848848,0.950467371
IL246_CD4Tnaive_IkB_V4a,IL246,CD4Tnaive,IkB,V4a,0.605848848,0.950467371
IL246_CD4Trm_pSTAT6_V4a,IL246,CD4Trm,pSTAT6,V4a,0.605848848,0.950467371
IL246_CD56brightCD16neg-NK_STAT5_V4a,IL246,CD56brightCD16neg-NK,STAT5,V4a,0.605848848,0.950467371
IL246_CD8Tem_NFkB_V4a,IL246,CD8Tem,NFkB,V4a,0.605848848,0.950467371
IL246_CD8Tnaive_STAT3_V4a,IL246,CD8Tnaive,STAT3,V4a,0.605848848,0.950467371
IL246_Eosino_Frequency_V4a,IL246,Eosino,Frequency,V4a,0.605848848,0.950467371
IL246_Eosino_MAPKAPK2_V4a,IL246,Eosino,MAPKAPK2,V4a,0.605848848,0.950467371
IL246_gdT_Frequency_V4a,IL246,gdT,Frequency,V4a,0.605848848,0.950467371
IL246_Th1_Frequency_V4a,IL246,Th1,Frequency,V4a,0.605848848,0.950467371
LPS_Baso_S6_V4a,LPS,Baso,S6,V4a,0.605848848,0.950467371
LPS_CD4Trm_NFkB_V4a,LPS,CD4Trm,NFkB,V4a,0.605848848,0.950467371
LPS_CD8Tem_pSTAT6_V4a,LPS,CD8Tem,pSTAT6,V4a,0.605848848,0.950467371
LPS_gdT_Frequency_V4a,LPS,gdT,Frequency,V4a,0.605848848,0.950467371
LPS_gdT_S6_V4a,LPS,gdT,S6,V4a,0.605848848,0.950467371
LPS_Th1mem_NFkB_V4a,LPS,Th1mem,NFkB,V4a,0.605848848,0.950467371
LPS_Th1mem_S6_V4a,LPS,Th1mem,S6,V4a,0.605848848,0.950467371
TNFa_ncMC_Frequency_V4a,TNFa,ncMC,Frequency,V4a,0.605848848,0.950467371
TNFa_Th1mem_Frequency_V4a,TNFa,Th1mem,Frequency,V4a,0.605848848,0.950467371
Unstim_CD4Tem_STAT5_V4a,Unstim,CD4Tem,STAT5,V4a,0.605848848,0.950467371
Unstim_gdT_IkB_V4a,Unstim,gdT,IkB,V4a,0.605848848,0.950467371
Unstim_Tregmem_S6_V4a,Unstim,Tregmem,S6,V4a,0.605848848,0.950467371
Unstim_CD56brightCD16neg-NK_S6_V4b,Unstim,CD56brightCD16neg-NK,S6,V4b,0.605848848,0.863041991
Unstim_ncMC_MAPKAPK2_V4b,Unstim,ncMC,MAPKAPK2,V4b,0.605848848,0.863041991
Unstim_Th1_pSTAT6_V4b,Unstim,Th1,pSTAT6,V4b,0.605848848,0.863041991
Unstim_Tregnaive_S6_V4b,Unstim,Tregnaive,S6,V4b,0.605848848,0.863041991
Unstim_Baso +++_IkB_V5,Unstim,Baso +++,IkB,V5,0.605848848,0.923554663
Unstim_Eosino_STAT5_V5,Unstim,Eosino,STAT5,V5,0.605848848,0.923554663
Unstim_MDSC_IkB_V5,Unstim,MDSC,IkB,V5,0.605848848,0.923554663
Unstim_Th1_IkB_V5,Unstim,Th1,IkB,V5,0.605848848,0.923554663
Unstim_Th1naive_S6_V5,Unstim,Th1naive,S6,V5,0.605848848,0.923554663
Unstim_Tregmem_STAT5_V5,Unstim,Tregmem,STAT5,V5,0.605848848,0.923554663
PI_Granulocytes_CREB_V4a,PI,Granulocytes,CREB,V4a,0.609828537,0.952725793
PI_intMC_STAT3_V4a,PI,intMC,STAT3,V4a,0.609828537,0.952725793
PI_pDC_Frequency_V4a,PI,pDC,Frequency,V4a,0.609828537,0.952725793
PI_pDC_STAT5_V4a,PI,pDC,STAT5,V4a,0.609828537,0.952725793
TNFa_Tregnaive_STAT3_V4a,TNFa,Tregnaive,STAT3,V4a,0.61109545,0.952725793
LPS_CD4Tnaive_STAT3_V4a,LPS,CD4Tnaive,STAT3,V4a,0.611901128,0.952725793
IFNa_Eosino_ERK_V4a,IFNa,Eosino,ERK,V4a,0.613230573,0.952725793
IFNa_pDC_p38_V4a,IFNa,pDC,p38,V4a,0.613230573,0.952725793
IL1B_CD4Tem_pSTAT6_V4a,IL1B,CD4Tem,pSTAT6,V4a,0.613230573,0.952725793
IL1B_CD56brightCD16neg-NK_CREB_V4a,IL1B,CD56brightCD16neg-NK,CREB,V4a,0.613230573,0.952725793
IL1B_CD8Tnaive_STAT5_V4a,IL1B,CD8Tnaive,STAT5,V4a,0.613230573,0.952725793
IL1B_cMC_S6_V4a,IL1B,cMC,S6,V4a,0.613230573,0.952725793
IL1B_MDSC_Frequency_V4a,IL1B,MDSC,Frequency,V4a,0.613230573,0.952725793
IL1B_Treg_ERK_V4a,IL1B,Treg,ERK,V4a,0.613230573,0.952725793
IL246_Th1mem_pSTAT6_V4a,IL246,Th1mem,pSTAT6,V4a,0.613230573,0.952725793
PI_Th2_STAT3_V4a,PI,Th2,STAT3,V4a,0.614179188,0.953583568
Unstim_Tregnaive_p38_V4b,Unstim,Tregnaive,p38,V4b,0.619413074,0.863041991
Unstim_CD56brightCD16neg-NK_p38_V4a,Unstim,CD56brightCD16neg-NK,p38,V4a,0.620645895,0.954565794
Unstim_CD8Tem_p38_V4a,Unstim,CD8Tem,p38,V4a,0.620645895,0.954565794
Unstim_NK-Tcells_p38_V4a,Unstim,NK-Tcells,p38,V4a,0.620645895,0.954565794
Unstim_CD56brightCD16neg-NK_p38_V4b,Unstim,CD56brightCD16neg-NK,p38,V4b,0.620645895,0.863041991
Unstim_CD8Tem_p38_V4b,Unstim,CD8Tem,p38,V4b,0.620645895,0.863041991
Unstim_NK-Tcells_p38_V4b,Unstim,NK-Tcells,p38,V4b,0.620645895,0.863041991
Unstim_CD56brightCD16neg-NK_p38_V5,Unstim,CD56brightCD16neg-NK,p38,V5,0.620645895,0.923554663
Unstim_CD8Tem_p38_V5,Unstim,CD8Tem,p38,V5,0.620645895,0.923554663
Unstim_NK-Tcells_p38_V5,Unstim,NK-Tcells,p38,V5,0.620645895,0.923554663
IL1B_Th1mem_CREB_V4a,IL1B,Th1mem,CREB,V4a,0.62123617,0.954565794
IL246_Treg_STAT1_V4a,IL246,Treg,STAT1,V4a,0.623762744,0.954565794
Unstim_CD4Tem_p38_V4b,Unstim,CD4Tem,p38,V4b,0.623989068,0.863041991
Unstim_CD4Tem_p38_V5,Unstim,CD4Tem,p38,V5,0.623989068,0.923554663
Unstim_Treg_CREB_V4a,Unstim,Treg,CREB,V4a,0.624759583,0.954565794
Unstim_ncMC_STAT5_V4b,Unstim,ncMC,STAT5,V4b,0.624759583,0.863041991
IL1B_CD56brightCD16neg-NK_p38_V4a,IL1B,CD56brightCD16neg-NK,p38,V4a,0.626927779,0.954565794
Unstim_CD4Trm_STAT3_V4b,Unstim,CD4Trm,STAT3,V4b,0.627794547,0.863041991
IFNa_Baso +++_STAT1_V4a,IFNa,Baso +++,STAT1,V4a,0.627909807,0.954565794
IFNa_Bcells_CREB_V4a,IFNa,Bcells,CREB,V4a,0.627909807,0.954565794
IFNa_CD4Trm_STAT5_V4a,IFNa,CD4Trm,STAT5,V4a,0.627909807,0.954565794
IFNa_CD8Tcm_S6_V4a,IFNa,CD8Tcm,S6,V4a,0.627909807,0.954565794
IFNa_CD8Trm_STAT3_V4a,IFNa,CD8Trm,STAT3,V4a,0.627909807,0.954565794
IFNa_NK-Tcells_NFkB_V4a,IFNa,NK-Tcells,NFkB,V4a,0.627909807,0.954565794
IFNa_Th17_pSTAT6_V4a,IFNa,Th17,pSTAT6,V4a,0.627909807,0.954565794
IFNa_Th1mem_STAT5_V4a,IFNa,Th1mem,STAT5,V4a,0.627909807,0.954565794
IL246_Bcells_MAPKAPK2_V4a,IL246,Bcells,MAPKAPK2,V4a,0.627909807,0.954565794
IL246_CD8Tem_pSTAT6_V4a,IL246,CD8Tem,pSTAT6,V4a,0.627909807,0.954565794
IL246_CD8Trm_S6_V4a,IL246,CD8Trm,S6,V4a,0.627909807,0.954565794
IL246_mDC_STAT5_V4a,IL246,mDC,STAT5,V4a,0.627909807,0.954565794
LPS_Baso_p38_V4a,LPS,Baso,p38,V4a,0.627909807,0.954565794
LPS_Baso +++_p38_V4a,LPS,Baso +++,p38,V4a,0.627909807,0.954565794
LPS_Baso +++_S6_V4a,LPS,Baso +++,S6,V4a,0.627909807,0.954565794
LPS_CD4Tcm_Frequency_V4a,LPS,CD4Tcm,Frequency,V4a,0.627909807,0.954565794
LPS_CD4Tnaive_Frequency_V4a,LPS,CD4Tnaive,Frequency,V4a,0.627909807,0.954565794
LPS_MDSC_MAPKAPK2_V4a,LPS,MDSC,MAPKAPK2,V4a,0.627909807,0.954565794
TNFa_CD4Tnaive_CREB_V4a,TNFa,CD4Tnaive,CREB,V4a,0.627909807,0.954565794
TNFa_CD4Trm_MAPKAPK2_V4a,TNFa,CD4Trm,MAPKAPK2,V4a,0.627909807,0.954565794
TNFa_CD8Tem_S6_V4a,TNFa,CD8Tem,S6,V4a,0.627909807,0.954565794
TNFa_CD8Tnaive_CREB_V4a,TNFa,CD8Tnaive,CREB,V4a,0.627909807,0.954565794
TNFa_Th17_STAT5_V4a,TNFa,Th17,STAT5,V4a,0.627909807,0.954565794
TNFa_Tregmem_MAPKAPK2_V4a,TNFa,Tregmem,MAPKAPK2,V4a,0.627909807,0.954565794
Unstim_CD4Tnaive_MAPKAPK2_V4a,Unstim,CD4Tnaive,MAPKAPK2,V4a,0.627909807,0.954565794
Unstim_cMC_MAPKAPK2_V4a,Unstim,cMC,MAPKAPK2,V4a,0.627909807,0.954565794
Unstim_CD56dimCD16pos-NK_IkB_V4b,Unstim,CD56dimCD16pos-NK,IkB,V4b,0.627909807,0.863041991
Unstim_CD8Tnaive_S6_V4b,Unstim,CD8Tnaive,S6,V4b,0.627909807,0.863041991
Unstim_cMC_Frequency_V4b,Unstim,cMC,Frequency,V4b,0.627909807,0.863041991
Unstim_Eosino_MAPKAPK2_V4b,Unstim,Eosino,MAPKAPK2,V4b,0.627909807,0.863041991
Unstim_CD4Tnaive_IkB_V5,Unstim,CD4Tnaive,IkB,V5,0.627909807,0.923554663
Unstim_CD56dimCD16pos-NK_MAPKAPK2_V5,Unstim,CD56dimCD16pos-NK,MAPKAPK2,V5,0.627909807,0.923554663
Unstim_Eosino_IkB_V5,Unstim,Eosino,IkB,V5,0.627909807,0.923554663
Unstim_Th1naive_CREB_V5,Unstim,Th1naive,CREB,V5,0.627909807,0.923554663
Unstim_Th1naive_NFkB_V5,Unstim,Th1naive,NFkB,V5,0.627909807,0.923554663
Unstim_Th1naive_STAT3_V5,Unstim,Th1naive,STAT3,V5,0.627909807,0.923554663
IFNa_Th1naive_pSTAT6_V4a,IFNa,Th1naive,pSTAT6,V4a,0.633913472,0.955388152
IL246_Th1naive_p38_V4a,IL246,Th1naive,p38,V4a,0.633913472,0.955388152
IL1B_CD8Tem_p38_V4a,IL1B,CD8Tem,p38,V4a,0.634081619,0.955388152
LPS_intMC_STAT1_V4a,LPS,intMC,STAT1,V4a,0.634271255,0.955388152
Unstim_Th2_CREB_V4b,Unstim,Th2,CREB,V4b,0.634322683,0.867961789
IFNa_Tregnaive_MAPKAPK2_V4a,IFNa,Tregnaive,MAPKAPK2,V4a,0.636362121,0.955388152
IL1B_CD4Tcm_pSTAT6_V4a,IL1B,CD4Tcm,pSTAT6,V4a,0.636362121,0.955388152
IL1B_CD8Trm_MAPKAPK2_V4a,IL1B,CD8Trm,MAPKAPK2,V4a,0.636362121,0.955388152
IL1B_CD8Trm_NFkB_V4a,IL1B,CD8Trm,NFkB,V4a,0.636362121,0.955388152
IL1B_cMC_STAT5_V4a,IL1B,cMC,STAT5,V4a,0.636362121,0.955388152
IL1B_Treg_pSTAT6_V4a,IL1B,Treg,pSTAT6,V4a,0.636362121,0.955388152
IL1B_Treg_p38_V4a,IL1B,Treg,p38,V4a,0.63720461,0.955388152
Unstim_NK-Tcells_STAT5_V5,Unstim,NK-Tcells,STAT5,V5,0.638427648,0.923554663
IL1B_Baso +++_ERK_V4a,IL1B,Baso +++,ERK,V4a,0.64254776,0.955388152
Unstim_gdT_STAT5_V5,Unstim,gdT,STAT5,V5,0.642866073,0.923554663
Unstim_CD4Tcm_CREB_V4b,Unstim,CD4Tcm,CREB,V4b,0.643834785,0.867961789
PI_Th1mem_CREB_V4a,PI,Th1mem,CREB,V4a,0.644755461,0.955388152
IL1B_CD8Tnaive_STAT3_V4a,IL1B,CD8Tnaive,STAT3,V4a,0.644849682,0.955388152
IL1B_intMC_STAT5_V4a,IL1B,intMC,STAT5,V4a,0.645547628,0.955388152
Unstim_Baso +++_p38_V4b,Unstim,Baso +++,p38,V4b,0.645594417,0.867961789
Unstim_Eosino_CREB_V4a,Unstim,Eosino,CREB,V4a,0.646321901,0.955388152
IFNa_Treg_CREB_V4a,IFNa,Treg,CREB,V4a,0.646385535,0.955388152
Unstim_intMC_p38_V4b,Unstim,intMC,p38,V4b,0.646385535,0.867961789
Unstim_intMC_p38_V5,Unstim,intMC,p38,V5,0.646385535,0.923554663
Unstim_Treg_CREB_V4b,Unstim,Treg,CREB,V4b,0.648024536,0.867961789
IFNa_CD4Tem_STAT5_V4a,IFNa,CD4Tem,STAT5,V4a,0.650299545,0.955388152
IFNa_CD4Tnaive_Frequency_V4a,IFNa,CD4Tnaive,Frequency,V4a,0.650299545,0.955388152
IFNa_CD4Trm_ERK_V4a,IFNa,CD4Trm,ERK,V4a,0.650299545,0.955388152
IFNa_CD8Tnaive_Frequency_V4a,IFNa,CD8Tnaive,Frequency,V4a,0.650299545,0.955388152
IFNa_CD8Tnaive_STAT5_V4a,IFNa,CD8Tnaive,STAT5,V4a,0.650299545,0.955388152
IFNa_gdT_pSTAT6_V4a,IFNa,gdT,pSTAT6,V4a,0.650299545,0.955388152
IFNa_Th1mem_NFkB_V4a,IFNa,Th1mem,NFkB,V4a,0.650299545,0.955388152
IFNa_Th2_S6_V4a,IFNa,Th2,S6,V4a,0.650299545,0.955388152
IL246_Bcells_CREB_V4a,IL246,Bcells,CREB,V4a,0.650299545,0.955388152
IL246_Bcells_IkB_V4a,IL246,Bcells,IkB,V4a,0.650299545,0.955388152
IL246_CD4Tem_MAPKAPK2_V4a,IL246,CD4Tem,MAPKAPK2,V4a,0.650299545,0.955388152
IL246_CD56brightCD16neg-NK_ERK_V4a,IL246,CD56brightCD16neg-NK,ERK,V4a,0.650299545,0.955388152
IL246_CD56dimCD16pos-NK_S6_V4a,IL246,CD56dimCD16pos-NK,S6,V4a,0.650299545,0.955388152
IL246_CD8Trm_pSTAT6_V4a,IL246,CD8Trm,pSTAT6,V4a,0.650299545,0.955388152
IL246_Granulocytes_Frequency_V4a,IL246,Granulocytes,Frequency,V4a,0.650299545,0.955388152
IL246_Th2_MAPKAPK2_V4a,IL246,Th2,MAPKAPK2,V4a,0.650299545,0.955388152
IL246_Treg_S6_V4a,IL246,Treg,S6,V4a,0.650299545,0.955388152
LPS_Eosino_CREB_V4a,LPS,Eosino,CREB,V4a,0.650299545,0.955388152
LPS_Eosino_Frequency_V4a,LPS,Eosino,Frequency,V4a,0.650299545,0.955388152
LPS_MDSC_ERK_V4a,LPS,MDSC,ERK,V4a,0.650299545,0.955388152
LPS_ncMC_S6_V4a,LPS,ncMC,S6,V4a,0.650299545,0.955388152
LPS_Th17_Frequency_V4a,LPS,Th17,Frequency,V4a,0.650299545,0.955388152
TNFa_Baso_STAT5_V4a,TNFa,Baso,STAT5,V4a,0.650299545,0.955388152
TNFa_Bcells_CREB_V4a,TNFa,Bcells,CREB,V4a,0.650299545,0.955388152
TNFa_CD4Tem_NFkB_V4a,TNFa,CD4Tem,NFkB,V4a,0.650299545,0.955388152
TNFa_CD4Trm_S6_V4a,TNFa,CD4Trm,S6,V4a,0.650299545,0.955388152
TNFa_Granulocytes_CREB_V4a,TNFa,Granulocytes,CREB,V4a,0.650299545,0.955388152
TNFa_Granulocytes_Frequency_V4a,TNFa,Granulocytes,Frequency,V4a,0.650299545,0.955388152
TNFa_Granulocytes_STAT3_V4a,TNFa,Granulocytes,STAT3,V4a,0.650299545,0.955388152
TNFa_mDC_Frequency_V4a,TNFa,mDC,Frequency,V4a,0.650299545,0.955388152
TNFa_NK-Tcells_MAPKAPK2_V4a,TNFa,NK-Tcells,MAPKAPK2,V4a,0.650299545,0.955388152
TNFa_Th2_MAPKAPK2_V4a,TNFa,Th2,MAPKAPK2,V4a,0.650299545,0.955388152
TNFa_Th2_STAT5_V4a,TNFa,Th2,STAT5,V4a,0.650299545,0.955388152
TNFa_Treg_pSTAT6_V4a,TNFa,Treg,pSTAT6,V4a,0.650299545,0.955388152
Unstim_Bcells_MAPKAPK2_V4a,Unstim,Bcells,MAPKAPK2,V4a,0.650299545,0.955388152
Unstim_CD8Tem_Frequency_V4a,Unstim,CD8Tem,Frequency,V4a,0.650299545,0.955388152
Unstim_Th1naive_ERK_V4a,Unstim,Th1naive,ERK,V4a,0.650299545,0.955388152
Unstim_Tregmem_Frequency_V4a,Unstim,Tregmem,Frequency,V4a,0.650299545,0.955388152
Unstim_CD8Tem_MAPKAPK2_V4b,Unstim,CD8Tem,MAPKAPK2,V4b,0.650299545,0.867961789
Unstim_Granulocytes_IkB_V4b,Unstim,Granulocytes,IkB,V4b,0.650299545,0.867961789
Unstim_Bcells_IkB_V5,Unstim,Bcells,IkB,V5,0.650299545,0.923554663
Unstim_CD4Tem_STAT3_V5,Unstim,CD4Tem,STAT3,V5,0.650299545,0.923554663
Unstim_CD4Trm_IkB_V5,Unstim,CD4Trm,IkB,V5,0.650299545,0.923554663
Unstim_CD56brightCD16neg-NK_S6_V5,Unstim,CD56brightCD16neg-NK,S6,V5,0.650299545,0.923554663
Unstim_CD56dimCD16pos-NK_IkB_V5,Unstim,CD56dimCD16pos-NK,IkB,V5,0.650299545,0.923554663
